Symbol	Name	Price		Change	%Change
ATVI	Activision Blizzard Inc	58.65		0.09	0.15%
ADBE	Adobe Inc.	317.94		11.98	3.92%
AMD	Advanced Micro Devices Inc	41.15		-1.44	-3.38%
ALGN	Align Technology Inc	266.06		-2.33	-0.87%
ALXN	Alexion Pharmaceuticals Inc	110.42		-2.05	-1.82%
AMZN	Amazon.com Inc	1760.9399		0.61	0.03%
AMGN	Amgen Inc	236.74		0.75	0.32%
AAL	American Airlines Group Inc	27.48		-0.24	-0.87%
ADI	Analog Devices Inc	118.77		0.96	0.81%
AAPL	Apple Inc	275.15		3.69	1.36%
AMAT	Applied Materials Inc	59.87		-0.49	-0.81%
ASML	ASML Holding NV	289.89		2.65	0.92%
ADSK	Autodesk Inc	179.41		1.51	0.85%
ADP	Automatic Data Processing Inc	168.26		1.1	0.66%
AVGO	Broadcom Inc	315.42		-12.38	-3.78%
BIDU	Baidu Inc	119.14		-1.4	-1.16%
BIIB	Biogen Inc	296.83		2.98	1.01%
BMRN	Biomarin Pharmaceutical Inc	80.17		-0.73	-0.90%
CDNS	Cadence Design Systems Inc	67.92		1.04	1.56%
CERN	Cerner Corp	72.23		0.41	0.57%
CHKP	Check Point Software Technologies Ltd	113.31		-0.46	-0.40%
CHTR	Charter Communications Inc	475.27		5.67	1.21%
TCOM	Trip.com Group Ltd	33.78		0.57	1.72%
CTAS	Cintas Corp	261.81		2.56	0.99%
CSCO	Cisco Systems Inc	45.3		-0.37	-0.81%
CTXS	Citrix Systems Inc	110.35		0.05	0.05%
CMCSA	Comcast Corp	43.58		0.57	1.33%
COST	Costco Wholesale Corp	291.87		-5.47	-1.84%
CSX	CSX Corp	72.78		0.5	0.69%
CTSH	Cognizant Technology Solutions Corp	61.64		-0.13	-0.21%
DLTR	Dollar Tree Inc	93.59		1.04	1.12%
EA	Electronic Arts	104.55		-0.54	-0.51%
EBAY	eBay Inc	35.48		0.17	0.48%
EXC	Exelon Corp	43.82		-0.28	-0.63%
EXPE	Expedia Group Inc	112.76		-0.74	-0.65%
FAST	Fastenal Co	37.03		-0.62	-1.65%
FB	Facebook	194.11		-2.64	-1.34%
FISV	Fiserv Inc	116.75		1.57	1.36%
GILD	Gilead Sciences Inc	65.77		-1.86	-2.75%
GOOG	Alphabet Class C	1347.83		-2.44	-0.18%
GOOGL	Alphabet Class A	1346.87	---	UNCH	0%
HAS	Hasbro Inc	103.92		1.16	1.13%
HSIC	Henry Schein Inc	68.49		-0.33	-0.48%
ILMN	Illumina Inc	324.72		2.73	0.85%
INCY	Incyte Corp	91.51		-1.34	-1.44%
INTC	Intel Corp	57.79		0.24	0.42%
INTU	Intuit Inc	259.64		6.89	2.73%
ISRG	Intuitive Surgical Inc	579.65		-1.32	-0.23%
IDXX	IDEXX Laboratories Inc	252.9		1.02	0.40%
JBHT	J.B. Hunt Transport Services Inc	113		0.55	0.49%
JD	JD.com Inc	34		0.18	0.53%
KLAC	KLA Corp	171.24		-0.22	-0.13%
KHC	Kraft Heinz Co	31.6		-0.34	-1.06%
LRCX	Lam Research Corp	281.95		-2.75	-0.97%
LBTYA	Liberty Global PLC	22.03		0.4	1.85%
LBTYK	Liberty Global PLC	21.05		0.41	1.99%
LULU	Lululemon Athletica Inc	223.55		-0.92	-0.41%
MELI	Mercadolibre Inc	567.67		-12.31	-2.12%
MAR	Marriott International Inc	146.16		1.06	0.73%
MCHP	Microchip Technology Inc	102.09		-1.07	-1.04%
MDLZ	Mondelez International Inc	53.24		0.26	0.49%
MNST	Monster Beverage Corp	62.21		-0.03	-0.05%
MSFT	Microsoft Corp	154.53		1.29	0.84%
MU	Micron Technology Inc	51.2		0.23	0.45%
MXIM	Maxim Integrated Products Inc	59.59		0.13	0.22%
MYL	Mylan NV	19.14		-0.54	-2.74%
NTAP	NetApp Inc	63.24		0.51	0.81%
NFLX	Netflix Inc	298.5		0.06	0.02%
NTES	NetEase Inc	304		-0.25	-0.08%
NVDA	NVIDIA Corp	223.99		-0.08	-0.04%
NXPI	NXP Semiconductors NV	123.88		0.275	0.22%
ORLY	O'Reilly Automotive Inc	441.35		0.15	0.03%
PAYX	Paychex Inc	85.08		0.34	0.40%
PCAR	Paccar Inc	82.01		-0.94	-1.13%
BKNG	Booking Holdings Inc	1973.6		25.12	1.29%
PYPL	PayPal Holdings Inc	107.65		1.98	1.87%
PEP	PepsiCo Inc.	137.94		0.76	0.55%
QCOM	Qualcomm Inc	87.83		-1.22	-1.37%
REGN	Regeneron Pharmaceuticals Inc	376.42		4.26	1.14%
ROST	Ross Stores Inc	115.49		-0.96	-0.82%
SIRI	Sirius XM Holdings Inc	6.92		0.03	0.44%
SWKS	Skyworks Solutions Inc	111.86		0.37	0.33%
SBUX	Starbucks Corp	88.67		0.46	0.52%
NLOK	NortonLifeLock Inc	26		-0.18	-0.69%
SNPS	Synopsys Inc	136.7		0.82	0.60%
TTWO	Take-Two Interactive Software Inc	121.82		-3.45	-2.75%
TSLA	Tesla Inc	358.39		-1.29	-0.36%
TXN	Texas Instruments Inc	126.64		0.57	0.45%
TMUS	T-Mobile US Inc	75.47		0.58	0.77%
ULTA	Ulta Beauty Inc	253.5		-5.37	-2.07%
UAL	United Airlines Holdings Inc	87.58		-0.89	-1.01%
VRSN	Verisign Inc	191.49		1.52	0.80%
VRSK	Verisk Analytics Inc	149.19		1.78	1.21%
VRTX	Vertex Pharmaceuticals Inc	218.98		-1.57	-0.71%
WBA	Walgreens Boots Alliance Inc	57.88		-0.7	-1.20%
WDC	Western Digital Corp	54.3		0.57	1.06%
WDAY	Workday Inc	159.46		-0.28	-0.18%
WYNN	Wynn Resorts Ltd	129.78		-2.49	-1.88%
XEL	Xcel Energy Inc	62.26		0.9	1.47%
XLNX	Xilinx Inc	96.23		-0.31	-0.32%
